Title;State;VlogLink;Published
"Interview de Jancovici - Sciences Po Rennes - 15/09/2016";"https://www.youtube.com/watch?v=bWYm1l6tj_c";"il y a 5 ans";
"Interview de Jancovici lors de la conférence Solutions pour le climat" le 8/01/2015";"https://www.youtube.com/watch?v=Vh7e6ERJRuI";"il y a 7 ans";
"Interview de Jean Marc Jancovici - Le nucléaire est-il l'ennemi de l'écologie ? - 03/08/2020";"https://www.youtube.com/watch?v=WM4KJI2Yu98";"il y a 2 ans";
"Interview de Jean Marc Jancovici - Rencontres d'Aix - 04/07/2020";"https://www.youtube.com/watch?v=ZsMSF0l9kyM";"il y a 2 ans";
"Interview de Jean Marc Jancovici aux Rencontres Météo Climat - 15 janvier 2017";"https://www.youtube.com/watch?v=U0GaL1nlJ_w";"il y a 5 ans";
"Jancovici  au JECO 2017 à Lyon - 7/11/2017";"https://www.youtube.com/watch?v=CNeIU3RXqDY";"il y a 4 ans";
"Jancovici  sur Europe 1 avec Patrick Cohen -  17/05/2020";"https://www.youtube.com/watch?v=Cf1dcqDUOHY";"il y a 2 ans";
"Jancovici - Dion :  Les enseignements de la  CCC : quelles clés pour l'action ? - 13/09/2021";"https://www.youtube.com/watch?v=h7WmEMD_bL0";"il y a 11 mois";
"Jancovici - Klein : L'importance de la connaissance sur les enjeux climat - 25 juin 2021";"https://www.youtube.com/watch?v=KgDiK2L_Czk";"il y a 1 an";
"Jancovici - Polony : Pourquoi les médias ne comprennent-ils rien aux questions d’énergie? 04/03/2021";"https://www.youtube.com/watch?v=ihuK3gvWoQE";"il y a 1 an";
"Jancovici - fête de l'humanité 2019 : Ecologie et capitalisme : Temps longs contre profits immédiats";"https://www.youtube.com/watch?v=KQ-t8gVM7PU";"il y a 2 ans";
"Jancovici - le 10/09/2015 - COP21 : Il y a toujours un côté barnum quand le monde politique ...";"https://www.youtube.com/watch?v=KAiGWQYeGGM";"il y a 6 ans";
"Jancovici - École Centrale de Nantes - 11/02/2020";"https://www.youtube.com/watch?v=IaQ-U-dP_7M";"il y a 2 ans";
"Jancovici :  L'urgence de décarboner l'économie - 21/04/2017";"https://www.youtube.com/watch?v=E_gNycCTjKE";"il y a 5 ans";
"Jancovici :  Vive le réchauffement climatique ?  27/02/2019";"https://www.youtube.com/watch?v=aY4OKXtMN-0";"il y a 3 ans";
"Jancovici : +2 degrés, les vaches sous les cocotiers ? - Rodez - 02/12/2021";"https://www.youtube.com/watch?v=0KYIjNFo4kw";"il y a 9 mois";
"Jancovici : A quand la rupture énergétique ? - Cité des Sciences - 21/11/2017";"https://www.youtube.com/watch?v=2JH6TwaDYW4";"il y a 4 ans";
"Jancovici : Agriculture et changement climatique - FRGEDA Franche-Comté - 19/01/2021";"https://www.youtube.com/watch?v=1SVUyi28vZw";"il y a 1 an";
"Jancovici : Anticiper l’effondrement énergétique - 14/12/2017";"https://www.youtube.com/watch?v=8yunlx4WWEA";"il y a 4 ans";
"Jancovici : Audition Assemblée Nationale : Impact des EnR - 16 Mai 2019";"https://www.youtube.com/watch?v=Hr9VlAM71O0";"il y a 3 ans";
"Jancovici : Averting systemic collapse or managing it ? - OCDE - 17/09/2019";"https://www.youtube.com/watch?v=oy-94IgDz3w";"il y a 2 ans";
"Jancovici : Bienvenue dans le monde fini - ADEME - 13/04/2018";"https://www.youtube.com/watch?v=jC0IiJnuB2U";"il y a 4 ans";
"Jancovici : CO2 ou PIB, il faut choisir - Sciences Po - 29/08/2019 -  [EN subtitles available]";"https://www.youtube.com/watch?v=Vjkq8V5rVy0";"il y a 3 ans";
"Jancovici : Can the economy become fossil free ? Shangaï China, 26/10/2015";"https://www.youtube.com/watch?v=gRC5-hAbUGA";"il y a 6 ans";
"Jancovici : Can we save energy, jobs and growth at the same time ? 08/01/2018";"https://www.youtube.com/watch?v=wGt4XwBbCvA";"il y a 4 ans";
"Jancovici : Carbon Impact of IT system  - 16/05/2019";"https://www.youtube.com/watch?v=h0O73kkFPbU";"il y a 3 ans";
"Jancovici : Ciel mon climat ! - ESSEC - 07/01/2020";"https://www.youtube.com/watch?v=UM3EW01_PUY";"il y a 2 ans";
"Jancovici : Climat : Quelle équation pour la chaine alimentaire ? - Coopération agricole -18/02/2021";"https://www.youtube.com/watch?v=cyvQWDG8mUo";"il y a 1 an";
"Jancovici : Climat, les leçons du choc Covid  - Be Smart - 08/10/2020";"https://www.youtube.com/watch?v=QrATizaiuLM";"il y a 1 an";
"Jancovici : Comment contribuer au PTEF du Shift Projet - Mai 2021";"https://www.youtube.com/watch?v=HeTbkuyY6tw";"il y a 1 an";
"Jancovici : Comment faire pour que la descente énergétique soit socialement acceptable ? 24/09/2019";"https://www.youtube.com/watch?v=RST5YMgiAIM";"il y a 2 ans";
"Jancovici : Comment rendre acceptable la sobriété énergétique - débat avec JF Mouhot - 02/05/2022";"https://www.youtube.com/watch?v=OTfG8vmIf48";"il y a 4 mois";
"Jancovici : Concevoir pour rester en dessous de 2°C  - 20/05/2022";"https://www.youtube.com/watch?v=I3CsL15U-sM";"il y a 2 mois";
"Jancovici : Conférence Dynamose - Ecole des Mines de Paris - 12/04/2018";"https://www.youtube.com/watch?v=8mfh2kSGI9U";"il y a 4 ans";
"Jancovici : Croissance, climat et limites physiques -  EDF - 02/07/2021";"https://www.youtube.com/watch?v=AFS15BYLgdU";"il y a 1 an";
"Jancovici : De Daech à la COP21" le 19/11/2015 à l'ESPCI";"https://www.youtube.com/watch?v=yiBrP7N9FkA";"il y a 6 ans";
"Jancovici : Du business sans énergie et sans climat ? - ESCP - 06/09/2021";"https://www.youtube.com/watch?v=LCZQZMpfAWE";"il y a 1 an";
"Jancovici : Décarboner l'économie c'est un projet extrêmement noble - 27/11/2018";"https://www.youtube.com/watch?v=cthYcje-Mis";"il y a 3 ans";
"Jancovici : Décarboner l'économie, un jeu d'enfant ? 07/01/2016 Arts et métiers";"https://www.youtube.com/watch?v=kqdWx6RikLs";"il y a 6 ans";
"Jancovici : Décarboner la France il nous faut un plan - 25/01/2022";"https://www.youtube.com/watch?v=_UESRNRLfo4";"il y a 7 mois";
"Jancovici : Décarboner l’Europe, un programme qui a de l’avenir !  3/4/2017";"https://www.youtube.com/watch?v=EW1jmYb88zE";"il y a 5 ans";
"Jancovici : Démission de Nicolas Hulot - Europe1 -  01/09/2018";"https://www.youtube.com/watch?v=_w-xi7J1Jyw";"il y a 3 ans";
"Jancovici : Energie et climat : Les grands défis du XXIème siècle - 18/10/2016";"https://www.youtube.com/watch?v=6GrBuYkq7SY";"il y a 5 ans";
"Jancovici : Energie et climat : quelles interactions avec l'agriculture ? - 24/09/2019";"https://www.youtube.com/watch?v=j48hBShnfB0";"il y a 2 ans";
"Jancovici : Energie und Klimawandel, Vorlesung 1: Energie (Teil 1)";"https://www.youtube.com/watch?v=hvppqzsKcaA";"il y a 3 mois";
"Jancovici : Energie, climat, croissance, quels choix pour la France ? 18/02/2016";"https://www.youtube.com/watch?v=yiRck633R3g";"il y a 6 ans";
"Jancovici : Entretien sur Présages" en podcast - 22/02/2018";"https://www.youtube.com/watch?v=dqMUUIYGYjQ";"il y a 4 ans";
"Jancovici : Est ce que l'électricité pollue ? - 03/12/2017";"https://www.youtube.com/watch?v=Wf5LloGSNio";"il y a 4 ans";
"Jancovici : HEC Débats - 05/02/2020";"https://www.youtube.com/watch?v=pGlx_xHAbjA";"il y a 2 ans";
"Jancovici : Il était une fois l'énergie, le climat, et la relance post-covid - EIVP - 21/09/2020";"https://www.youtube.com/watch?v=3GyOYNwk5AM";"il y a 1 an";
"Jancovici : Interview au Cube - 07/05/2019";"https://www.youtube.com/watch?v=txKbpNS3dho";"il y a 3 ans";
"Jancovici : Interview par Apolline de Malherbe - BFMTV -  10/03/2022";"https://www.youtube.com/watch?v=ak8Hn3d8DcQ";"il y a 6 mois";
"Jancovici : Interview sur RTS  - 03/01/2019";"https://www.youtube.com/watch?v=tBR96b6vrEM";"il y a 3 ans";
"Jancovici : Interview sur Xerfi Canal - 19/03/2019";"https://www.youtube.com/watch?v=9FCyQcPXFvs";"il y a 3 ans";
"Jancovici : Irma : les ouragans sont-ils causés par le réchauffement climatique ? - 8/9/2017";"https://www.youtube.com/watch?v=oM9COrRo8TA";"il y a 5 ans";
"Jancovici : James Finance contre Docteur Carbone - Genève - 17/09/2020";"https://www.youtube.com/watch?v=xMpTDcuhl9w";"il y a 1 an";
"Jancovici : La COP21, début d'un monde nouveau ? - 18/02/2016";"https://www.youtube.com/watch?v=gW8BBC8idho";"il y a 6 ans";
"Jancovici : La contraction énergétique - AgroParisTech - 24/09/2019";"https://www.youtube.com/watch?v=T7f_mMvcSk8";"il y a 2 ans";
"Jancovici : La crise inexorable du tout carbone  - 29/03/2019";"https://www.youtube.com/watch?v=nYrHPtoLH3U";"il y a 3 ans";
"Jancovici : La croissance, c’est avant tout de l’énergie , 16/03/2016 Download";"https://www.youtube.com/watch?v=pOgPfFIWZGY";"il y a 6 ans";
"Jancovici : La méditerranée à l'heure du défi énergie/climat - FMES Toulon - 05/03/2020";"https://www.youtube.com/watch?v=j5-zoSxCsZw";"il y a 2 ans";
"Jancovici : La physique et l'économie : amies ou ennemies ? - 20/11/2017";"https://www.youtube.com/watch?v=nfRbpqQu6kU";"il y a 3 ans";
"Jancovici : La planète brûle - 05/09/2017";"https://www.youtube.com/watch?v=tMT_PY75fGE";"il y a 5 ans";
"Jancovici : La taxe carbone dans le monde : grandes ambitions, petites réalités ! " - 08/12/2016";"https://www.youtube.com/watch?v=AKVOnaLFAS4";"il y a 5 ans";
"Jancovici : La transition énergétique en France - 14/03/2019";"https://www.youtube.com/watch?v=Dq2AAZd7zJQ";"il y a 3 ans";
