Title;State;VlogLink;Published
"Ep8 - 1/3- Four à pain, pizza...gratuit / free homemade wood fired pizza/bread oven";"https://www.youtube.com/watch?v=WfD7FU8id68";"il y a 6 ans";
"Fibre local pour attacher ses tomates...  et plus si affinités";"https://www.youtube.com/watch?v=lYogFp5CmSs";"il y a 2 ans";
"Galette de sarrasin sans électricité avec pesto d'ortie et noix";"https://www.youtube.com/watch?v=-siM1AVqB2g";"il y a 2 ans";
"Je bois mon eau de pluie :)";"https://www.youtube.com/watch?v=9ooBy1MuVoE";"il y a 3 ans";
"L'Energie Autrement c'est quoi?";"https://www.youtube.com/watch?v=BMPd7fTzqFU";"il y a 4 ans";
"Le meilleur placement financier de l'année";"https://www.youtube.com/watch?v=OyZJZzHTL_s";"il y a 3 ans";
"Petit défi pour les 50 000 abonnés de Barnabé Chaillot";"https://www.youtube.com/watch?v=6j04J0EbKLQ";"il y a 4 ans";
"Pourquoi Barnabé Chaillot ne fait plus de vidéo ?";"https://www.youtube.com/watch?v=shDxHwS4H5s&t=270s";"il y a 2 semaines";
"Projet pilote à Voiron  - fonderie à l'école primaire";"https://www.youtube.com/watch?v=UPQZb_jnTDA";"il y a 7 ans";
"Quelques animaux du jardin";"https://www.youtube.com/watch?v=x9c_LWevHcY";"il y a 4 ans";
"Quinoa du Jardin : Semer, Cultiver, Récolter, Préparer et en Manger";"https://www.youtube.com/watch?v=zJgpqIB1Q0w";"il y a 4 ans";
"Réussir 80% d'autoconsommation photovoltaïque (sans batterie) #3";"https://www.youtube.com/watch?v=jnuNzXcd_g8&t=583s";"il y a 3 ans";
"Rêvons ensemble des voitures du futur";"https://www.youtube.com/watch?v=McFqG0Hkm0E";"il y a 1 an";
"Stop Pub";"https://www.youtube.com/watch?v=9QvrOhu2y1c";"il y a 4 ans";
"Tout sur l'autoconsommation photovoltaique #5";"https://www.youtube.com/watch?v=jieIqrAOqo8";"il y a 3 ans";
"Transition énergétique d'une yourte: Episode 20";"https://www.youtube.com/watch?v=vXptoJ6EJPg";"il y a 4 ans";
"Un peu de chaleur pour l'hiver...";"https://www.youtube.com/watch?v=EwHK-W8bakQ";"il y a 5 ans";
"Vélo électrique Solaire. Transport gratuit";"https://www.youtube.com/watch?v=w6V8lTJ-d8w";"il y a 3 ans";
"fabriquer son éolienne et générateur / homemade wind turbine and generator";"https://www.youtube.com/watch?v=Kc_2704jFPE";"il y a 9 ans";
"l'association l'énergie autrement";"https://www.youtube.com/watch?v=6tuWPvUBb9U";"il y a 4 ans";
