Title;State;VlogLink;Published
"Comment soulager les hémorroïdes ?";"https://www.youtube.com/watch?v=pNCD9XKXa60";"il y a 1 an";
"Construire notre indépendance avec les plantes";"https://www.youtube.com/watch?v=fCAUbCwsQ9A";"il y a 2 ans";
"Covid long, échange avec le docteur Franck Gigon (partie 2)";"https://www.youtube.com/watch?v=nWzarWajgeE";"il y a 9 mois";
"Covid-19 et convalescence";"https://www.youtube.com/watch?v=NhVgo9SJ-4A";"il y a 2 ans";
"Covid-19 et plantes – QR 2 – Astragale de Chine et Renouée du Japon";"https://www.youtube.com/watch?v=xJwbaIbxvVI";"il y a 2 ans";
"Covid-19 et plantes – QR 3 – thromboses et flore intestinale/Prevotella";"https://www.youtube.com/watch?v=0MHZaQ6Jj7A";"il y a 2 ans";
"Covid-19 et plantes – QR1 – Armoise annuelle, Quinquina et Sureau";"https://www.youtube.com/watch?v=oKl7FW2RrxA";"il y a 2 ans";
"Créer une haie mellifère avec des plantes médicinales";"https://www.youtube.com/watch?v=9fjftMukt4g";"il y a 1 an";
"Cueillette du millepertuis (Hypericum perforatum)";"https://www.youtube.com/watch?v=ZOmeJOu_E7U";"il y a 7 ans";
"Culture hors sol en lasagne - Partie 2";"https://www.youtube.com/watch?v=4Og1vd43uno";"il y a 5 ans";
"Culture hors sol en lasagne";"https://www.youtube.com/watch?v=0QJNLxvu8dE";"il y a 5 ans";
"Curcuma : anti-inflammatoire naturel, arthrose, arthrite, anti-cancer";"https://www.youtube.com/watch?v=lYbLzEwR48s";"il y a 4 ans";
"Cure de printemps : quand ça beugue...";"https://www.youtube.com/watch?v=Eug67xJVuY0";"il y a 3 ans";
"Cure détox";"https://www.youtube.com/watch?v=EjxogosvpfI";"il y a 5 ans";
"Cyprès toujours vert (Cupressus sempervirens) : circulation, hémorroides, antiviral";"https://www.youtube.com/watch?v=5Tvoz9HpJ70";"il y a 1 an";
"Cystites récidivantes : échange avec Laure Martinat";"https://www.youtube.com/watch?v=1apcHFSBVCE";"il y a 4 mois";
"Discussion avec Audrey et Julien, Paysans Herboristes";"https://www.youtube.com/watch?v=EPhTSHax-a4";"il y a 2 ans";
"Dosages - différence poudre et infusion";"https://www.youtube.com/watch?v=rZzMP2K7LIc";"il y a 4 ans";
"Découvrir les plantes médicinales peu utilisées (exemple du filaire)";"https://www.youtube.com/watch?v=KK8EmLNRY-g";"il y a 1 an";
"Dégénérescence maculaire liée à l’âge (DMLA) et plantes";"https://www.youtube.com/watch?v=AvsGQIdaOys";"il y a 3 ans";
"Détox des poumons avec les plantes : cigarette et pollution";"https://www.youtube.com/watch?v=w4qPRCgDKMU";"il y a 3 ans";
"Effet placebo et comment l’utiliser avec les plantes";"https://www.youtube.com/watch?v=bDnnJuq-FSI";"il y a 2 ans";
"Eleutherocoque";"https://www.youtube.com/watch?v=SY_HPS6LnRY";"il y a 4 ans";
"Endométriose : approche naturelle avec les plantes";"https://www.youtube.com/watch?v=5RNd3Vm6J3M";"il y a 3 ans";
"Epilobe : problèmes de prostate, cystites et diarrhées";"https://www.youtube.com/watch?v=-2rUKKvhUY8";"il y a 4 ans";
"Escholtzia";"https://www.youtube.com/watch?v=4R-5h5ZnFc0";"il y a 4 ans";
"Eucalyptus (Eucalyptus globulus) : bronchites, cystites, plaies infectées";"https://www.youtube.com/watch?v=BIfj55s0Jwg";"il y a 3 ans";
"Euphorbes";"https://www.youtube.com/watch?v=frEhF_7sBrU";"il y a 4 ans";
"Extraction du gel d'aloe vera";"https://www.youtube.com/watch?v=T98Uhdiw-hg";"il y a 5 ans";
"Faire une teinture par percolation";"https://www.youtube.com/watch?v=g6CnWK0ZaFY";"il y a 8 ans";
"Fatigue de fin d'hiver";"https://www.youtube.com/watch?v=g6fSN4oyTAU";"il y a 4 ans";
"Faut-il mélanger les plantes ou les prendre seules ?";"https://www.youtube.com/watch?v=37pdu5V-mXI";"il y a 4 ans";
"Fenugrec : inflammations digestives et problèmes métaboliques (glycémie, lipidémie)";"https://www.youtube.com/watch?v=8ydvvdgJgn8";"il y a 3 ans";
"Feuille de framboisier : grand tonique de la femme";"https://www.youtube.com/watch?v=sxoi-2f3cgU&t=250s";"il y a 3 mois";
"Filtrer et presser une teinture";"https://www.youtube.com/watch?v=XKExqliz_yY";"il y a 4 ans";
